,Supp,Conf,Lift,Antecedent,Consequent,N_items_Ant,Supp_norm
2764,0.06,0.69,2.89,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},5,0.012
694,0.09,0.96,4.02,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.0225
866,0.09,0.95,3.98,"{'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.0225
842,0.05,0.95,4.0,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.0125
882,0.09,0.94,3.94,"{'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.0225
746,0.05,0.94,3.96,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.0125
770,0.09,0.93,3.9,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.0225
1018,0.06,0.93,3.89,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.015
910,0.05,0.93,3.89,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.0125
1042,0.1,0.92,3.88,"{'Satisfaction_Level': 'medium', 'Average_Montly_Hours': 'standard', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.025
786,0.09,0.92,3.85,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.0225
2453,0.05,0.92,3.86,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3'}",{'Left': 'Y'},4,0.0125
1166,0.06,0.91,3.8,"{'Salary': '0', 'Average_Montly_Hours': 'standard', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.015
1058,0.1,0.9,3.78,"{'Satisfaction_Level': 'medium', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.025
946,0.09,0.9,3.78,"{'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.0225
926,0.05,0.9,3.78,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.0125
2477,0.09,0.89,3.75,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},4,0.0225
1202,0.1,0.88,3.7,"{'Promotion_Last_5_Years': 'N', 'Average_Montly_Hours': 'standard', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.025
2493,0.09,0.88,3.7,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},4,0.0225
1086,0.06,0.88,3.7,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Average_Montly_Hours': 'standard', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.015
2601,0.05,0.87,3.65,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},4,0.0125
1182,0.06,0.86,3.62,"{'Salary': '0', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.015
1122,0.1,0.84,3.53,"{'Satisfaction_Level': 'medium', 'Average_Montly_Hours': 'standard', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.025
1102,0.06,0.84,3.54,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.015
2637,0.09,0.83,3.51,"{'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},4,0.0225
2521,0.05,0.83,3.51,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},4,0.0125
2617,0.05,0.82,3.44,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},4,0.0125
1238,0.06,0.81,3.39,"{'Salary': '0', 'Average_Montly_Hours': 'standard', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},4,0.015
2537,0.05,0.79,3.32,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},4,0.0125
2557,0.09,0.78,3.29,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},4,0.0225
120,0.05,0.76,3.17,"{'Satisfaction_Level': 'low', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '4', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},4,0.0125
2769,0.06,0.69,2.89,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},4,0.015
2685,0.06,0.66,2.79,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},4,0.015
2805,0.1,0.62,2.6,"{'Satisfaction_Level': 'medium', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},4,0.025
186,0.05,0.6,2.51,"{'Satisfaction_Level': 'low', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Average_Montly_Hours': 'intensive'}",{'Left': 'Y'},4,0.0125
2785,0.06,0.55,2.31,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Time_Spend_Company': '3', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},4,0.015
886,0.09,0.94,3.94,"{'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.03
790,0.09,0.91,3.84,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.03
1062,0.1,0.9,3.78,"{'Satisfaction_Level': 'medium', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.0333333333333
950,0.09,0.9,3.77,"{'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.03
930,0.05,0.9,3.78,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.0166666666667
1206,0.1,0.88,3.7,"{'Average_Montly_Hours': 'standard', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.0333333333333
2497,0.09,0.88,3.68,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3'}",{'Left': 'Y'},3,0.03
963,0.09,0.87,3.66,"{'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.03
1186,0.06,0.86,3.62,"{'Salary': '0', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.02
1126,0.1,0.84,3.51,"{'Satisfaction_Level': 'medium', 'Average_Montly_Hours': 'standard', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.0333333333333
1106,0.06,0.84,3.54,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.02
2641,0.09,0.83,3.49,"{'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},3,0.03
1219,0.1,0.82,3.46,"{'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.0333333333333
2621,0.05,0.82,3.44,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3'}",{'Left': 'Y'},3,0.0166666666667
1242,0.06,0.81,3.39,"{'Salary': '0', 'Average_Montly_Hours': 'standard', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.02
1139,0.1,0.79,3.32,"{'Satisfaction_Level': 'medium', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.0333333333333
2541,0.05,0.79,3.32,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient'}",{'Left': 'Y'},3,0.0166666666667
2561,0.09,0.78,3.27,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},3,0.03
2654,0.09,0.77,3.25,"{'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},3,0.03
1267,0.1,0.76,3.18,"{'Average_Montly_Hours': 'standard', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.0333333333333
137,0.05,0.76,3.17,"{'Satisfaction_Level': 'low', 'Time_Spend_Company': '4', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},3,0.0166666666667
124,0.05,0.75,3.16,"{'Satisfaction_Level': 'low', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '4'}",{'Left': 'Y'},3,0.0166666666667
2574,0.09,0.73,3.07,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},3,0.03
68,0.05,0.73,3.08,"{'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '5', 'Average_Montly_Hours': 'intensive'}",{'Left': 'Y'},3,0.0166666666667
1825,0.06,0.72,3.03,"{'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '4', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},3,0.02
1253,0.06,0.72,3.02,"{'Salary': '0', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},3,0.02
2702,0.09,0.66,2.78,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},3,0.03
2689,0.06,0.66,2.78,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},3,0.02
2809,0.1,0.62,2.59,"{'Satisfaction_Level': 'medium', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},3,0.0333333333333
2726,0.09,0.6,2.51,"{'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},3,0.03
204,0.05,0.6,2.51,"{'Satisfaction_Level': 'low', 'Promotion_Last_5_Years': 'N', 'Average_Montly_Hours': 'intensive'}",{'Left': 'Y'},3,0.0166666666667
190,0.05,0.59,2.49,"{'Satisfaction_Level': 'low', 'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'intensive'}",{'Left': 'Y'},3,0.0166666666667
2667,0.06,0.56,2.36,"{'Salary': '1', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},3,0.02
2789,0.06,0.55,2.31,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Time_Spend_Company': '3'}",{'Left': 'Y'},3,0.02
2712,0.05,0.55,2.31,"{'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Average_Montly_Hours': 'intensive'}",{'Left': 'Y'},3,0.0166666666667
966,0.09,0.87,3.65,"{'Last_Evaluation': 'insufficient', 'Number_Projects': '2'}",{'Left': 'Y'},2,0.045
1222,0.1,0.82,3.46,"{'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},2,0.05
1142,0.1,0.78,3.3,"{'Satisfaction_Level': 'medium', 'Number_Projects': '2'}",{'Left': 'Y'},2,0.05
2657,0.09,0.77,3.23,"{'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3'}",{'Left': 'Y'},2,0.045
1270,0.1,0.75,3.16,"{'Average_Montly_Hours': 'standard', 'Number_Projects': '2'}",{'Left': 'Y'},2,0.05
140,0.05,0.75,3.16,"{'Satisfaction_Level': 'low', 'Time_Spend_Company': '4'}",{'Left': 'Y'},2,0.025
2577,0.09,0.73,3.05,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient'}",{'Left': 'Y'},2,0.045
70,0.05,0.73,3.06,"{'Time_Spend_Company': '5', 'Average_Montly_Hours': 'intensive'}",{'Left': 'Y'},2,0.025
1827,0.06,0.72,3.02,"{'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '4'}",{'Left': 'Y'},2,0.03
1255,0.06,0.72,3.02,"{'Salary': '0', 'Number_Projects': '2'}",{'Left': 'Y'},2,0.03
1278,0.1,0.66,2.78,"{'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},2,0.05
2705,0.09,0.66,2.78,"{'Salary': '0', 'Last_Evaluation': 'insufficient'}",{'Left': 'Y'},2,0.045
2739,0.15,0.6,2.51,"{'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},2,0.075
2729,0.09,0.59,2.49,"{'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},2,0.045
206,0.05,0.59,2.49,"{'Satisfaction_Level': 'low', 'Average_Montly_Hours': 'intensive'}",{'Left': 'Y'},2,0.025
77,0.06,0.57,2.4,"{'Time_Spend_Company': '5', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},2,0.03
2669,0.06,0.56,2.33,"{'Salary': '1', 'Last_Evaluation': 'insufficient'}",{'Left': 'Y'},2,0.03
2713,0.05,0.55,2.3,"{'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'intensive'}",{'Left': 'Y'},2,0.025
1279,0.1,0.66,2.76,{'Number_Projects': '2'},{'Left': 'Y'},1,0.1
2741,0.15,0.59,2.49,{'Last_Evaluation': 'insufficient'},{'Left': 'Y'},1,0.15
78,0.06,0.57,2.38,{'Time_Spend_Company': '5'},{'Left': 'Y'},1,0.06
